Condition,RT_response,correct,practice,problem_type,subject_nr,trial
Progressive,2703,0,no,4,6,47
Progressive,1409,1,no,4,6,48
Progressive,4127,1,no,4,6,49
Progressive,2649,1,no,4,6,50
Progressive,1462,1,no,4,6,51
Progressive,3500,1,no,4,6,52
Progressive,3870,1,no,4,6,53
Progressive,2413,1,no,4,6,54
Progressive,1563,1,no,4,6,55
Progressive,2808,1,no,4,6,56
Progressive,3580,1,no,5,6,57
Progressive,3580,1,no,5,6,58
Progressive,3863,0,no,5,6,59
Progressive,2536,1,no,5,6,60
Progressive,3424,1,no,5,6,61
Progressive,4419,1,no,5,6,62
Progressive,3156,1,no,5,6,63
Progressive,2323,1,no,5,6,64
Progressive,2441,1,no,5,6,65
Progressive,4321,1,no,5,6,66
Randomised,2204,1,no,2,6,5
Randomised,4488,1,no,3,6,6
Randomised,1282,1,no,1,6,7
Randomised,3671,1,no,5,6,8
Randomised,1900,1,no,4,6,9
Randomised,2174,1,no,1,6,10
Randomised,2004,1,no,2,6,11
Randomised,3013,0,no,4,6,12
Randomised,4447,1,no,5,6,13
Randomised,2439,1,no,3,6,14
Randomised,1393,1,no,1,6,15
Randomised,1450,1,no,4,6,16
Randomised,1555,1,no,3,6,17
Randomised,1807,1,no,2,6,18
Randomised,5001,0,no,5,6,19
Randomised,1970,1,no,3,6,20
Randomised,1407,1,no,4,6,21
Randomised,2356,1,no,2,6,22
Randomised,2586,1,no,5,6,23
Randomised,1477,1,no,1,6,24
Randomised,1249,1,no,1,6,25
Randomised,3659,1,no,5,6,26
Randomised,2602,1,no,4,6,27
Randomised,2104,1,no,3,6,28
Randomised,2874,1,no,2,6,29
Randomised,2510,1,no,4,6,30
Randomised,1541,1,no,1,6,31
Randomised,1827,1,no,2,6,32
Randomised,4678,1,no,5,6,33
Randomised,1766,1,no,3,6,34
Randomised,1408,1,no,1,6,35
Randomised,3014,0,no,3,6,36
Randomised,1846,1,no,2,6,37
Randomised,3569,1,no,5,6,38
Randomised,1745,1,no,4,6,39
Randomised,1425,1,no,1,6,40
Randomised,1472,1,no,3,6,41
Randomised,1421,1,no,2,6,42
Randomised,2824,1,no,4,6,43
Randomised,4286,1,no,5,6,44
Randomised,1537,1,no,1,6,45
Randomised,5001,0,no,5,6,46
Randomised,1743,1,no,4,6,47
Randomised,3295,1,no,2,6,48
Randomised,2833,0,no,3,6,49
Randomised,3307,1,no,2,6,50
Randomised,1774,1,no,3,6,51
Randomised,5001,0,no,5,6,52
Randomised,1443,1,no,1,6,53
Randomised,2906,0,no,4,6,54
